	gene_name
0610007L01Rik	0610007L01Rik
0610009O20Rik	0610009O20Rik
0610010K14Rik	0610010K14Rik
0910001L09Rik	0910001L09Rik
1100001G20Rik	1100001G20Rik
1110002B05Rik	1110002B05Rik
1110004E09Rik	1110004E09Rik
1110007A13Rik	1110007A13Rik
1110007C09Rik	1110007C09Rik
1110013L07Rik	1110013L07Rik
1110020G09Rik	1110020G09Rik
1110034G24Rik	1110034G24Rik
1110038B12Rik	1110038B12Rik
1110049F12Rik	1110049F12Rik
1110059E24Rik	1110059E24Rik
1190002H23Rik	1190002H23Rik
1190007F08Rik	1190007F08Rik
1200002N14Rik	1200002N14Rik
1300001I01Rik	1300001I01Rik
1300017J02Rik	1300017J02Rik
1500001M20Rik	1500001M20Rik
1500012F01Rik	1500012F01Rik
1500032L24Rik	1500032L24Rik
1600014C10Rik	1600014C10Rik
1700001L05Rik	1700001L05Rik
1700012B09Rik	1700012B09Rik
1700017B05Rik	1700017B05Rik
1700020L24Rik	1700020L24Rik
1810009A15Rik	1810009A15Rik
1810011H11Rik	1810011H11Rik
1810027O10Rik	1810027O10Rik
1810030N24Rik	1810030N24Rik
1810031K17Rik	1810031K17Rik
1810033B17Rik	1810033B17Rik
1810037I17Rik	1810037I17Rik
2010002N04Rik	2010002N04Rik
2010011I20Rik	2010011I20Rik
2010106G01Rik	2010106G01Rik
2210016F16Rik	2210016F16Rik
2210020M01Rik	2210020M01Rik
2210023G05Rik	2210023G05Rik
2210404O07Rik	2210404O07Rik
2210411K11Rik	2210411K11Rik
2310003C23Rik	2310003C23Rik
2310003F16Rik	2310003F16Rik
2310005E10Rik	2310005E10Rik
2310014H01Rik	2310014H01Rik
2310022B05Rik	2310022B05Rik
2310028O11Rik	2310028O11Rik
2410006H16Rik	2410006H16Rik
2510002D24Rik	2510002D24Rik
2510003E04Rik	2510003E04Rik
2610018G03Rik	2610018G03Rik
2610024G14Rik	2610024G14Rik
2610029G23Rik	2610029G23Rik
2610029I01Rik	2610029I01Rik
2610035D17Rik	2610035D17Rik
2610101N10Rik	2610101N10Rik
2700094K13Rik	2700094K13Rik
2810004N23Rik	2810004N23Rik
2810417H13Rik	2810417H13Rik
2810474O19Rik	2810474O19Rik
2900010J23Rik	2900010J23Rik
2900010M23Rik	2900010M23Rik
2900026A02Rik	2900026A02Rik
2900073G15Rik	2900073G15Rik
3110003A17Rik	3110003A17Rik
3110056O03Rik	3110056O03Rik
4632415L05Rik	4632415L05Rik
4632428N05Rik	4632428N05Rik
4930473A06Rik	4930473A06Rik
4930486L24Rik	4930486L24Rik
4930503E24Rik	4930503E24Rik
4930534B04Rik	4930534B04Rik
4931406C07Rik	4931406C07Rik
5033406O09Rik	5033406O09Rik
5430435G22Rik	5430435G22Rik
5730469M10Rik	5730469M10Rik
5730508B09Rik	5730508B09Rik
5730528L13Rik	5730528L13Rik
5830405N20Rik	5830405N20Rik
5830432E09Rik	5830432E09Rik
6030458C11Rik	6030458C11Rik
6330416G13Rik	6330416G13Rik
6330503K22Rik	6330503K22Rik
6720456B07Rik	6720456B07Rik
8430419L09Rik	8430419L09Rik
8430427H17Rik	8430427H17Rik
9030617O03Rik	9030617O03Rik
9130206I24Rik	9130206I24Rik
9130208E07Rik	9130208E07Rik
9230105E10Rik	9230105E10Rik
9530068E07Rik	9530068E07Rik
9530077C05Rik	9530077C05Rik
9630033F20Rik	9630033F20Rik
9830001H06Rik	9830001H06Rik
A030009H04Rik	A030009H04Rik
A930001N09Rik	A930001N09Rik
AA987161	AA987161
AB124611	AB124611
